,classes
2,n01484850
5,n01496331
7,n01514668
15,n01558993
20,n01601694
26,n01630670
31,n01644373
37,n01669191
48,n01695060
68,n01756291
71,n01770393
75,n01774384
83,n01798484
117,n01968897
130,n02007558
159,n02087394
163,n02088466
225,n02105162
243,n02108422
244,n02108551
250,n02110185
255,n02111129
262,n02112706
278,n02119789
281,n02123045
301,n02165456
316,n02256656
325,n02281406
333,n02342885
350,n02417914
363,n02454379
364,n02457408
365,n02480495
374,n02488291
376,n02489166
379,n02492660
387,n02509815
397,n02655020
411,n02730930
439,n02817516
451,n02865351
459,n02892767
461,n02895154
473,n02951585
497,n03028079
499,n03041632
506,n03065424
509,n03089624
513,n03110669
514,n03124043
520,n03131574
554,n03344393
559,n03376595
561,n03384352
574,n03445777
579,n03452741
584,n03476684
585,n03476991
591,n03485794
613,n03602883
619,n03637318
620,n03642806
624,n03661043
634,n03697007
656,n03770679
659,n03775546
662,n03777754
668,n03788195
677,n03804744
678,n03814639
698,n03877845
700,n03887697
708,n03903868
710,n03908714
726,n03954731
740,n03995372
752,n04039381
766,n04111531
768,n04118538
788,n04200800
793,n04209133
806,n04254777
807,n04258138
819,n04296562
832,n04346328
844,n04372370
860,n04443257
868,n04476259
883,n04522168
888,n04532670
911,n04599235
913,n04606251
937,n07714990
951,n07749582
970,n09193705
986,n12057211
988,n12267677
994,n13040303
997,n13054560
999,n15075141
